iter	Logloss
0	0.6460767159
1	0.6098718115
2	0.5748027215
3	0.5487245811
4	0.5216414448
5	0.4969983657
6	0.4787501951
7	0.4661454274
8	0.4533185706
9	0.4388575461
10	0.4281361469
11	0.4185382928
12	0.4080729846
13	0.4000242001
14	0.3925048904
15	0.3869483148
16	0.3801694232
17	0.3768961046
18	0.3737612829
19	0.371539054
20	0.3682709701
21	0.3633757154
22	0.3590588682
23	0.3558618964
24	0.3528646204
25	0.3506796857
26	0.3488790906
27	0.346954482
28	0.3448823881
29	0.3432669568
30	0.3398530681
31	0.3390053142
32	0.3365391133
33	0.3349396928
34	0.3326618367
35	0.3311656454
36	0.3291372984
37	0.3276369044
38	0.32596505
39	0.3244213078
40	0.3228338155
41	0.3202533445
42	0.3186682739
43	0.317598248
44	0.3144230376
45	0.3135556946
46	0.3118902447
47	0.3111164209
48	0.3102108234
49	0.3092230414
50	0.3082343274
51	0.3075317947
52	0.3063764155
53	0.3031943591
54	0.3023190676
55	0.3017545394
56	0.3003807626
57	0.2973314376
58	0.2960950467
59	0.2939630646
60	0.2923328988
61	0.2915121983
62	0.2906018116
63	0.2891410059
64	0.288466874
65	0.2872676998
66	0.2859279679
67	0.2840996768
68	0.2831201009
69	0.2806443054
70	0.2801479701
71	0.2793037224
72	0.2790616995
73	0.2777900364
74	0.2768965835
75	0.2751969244
76	0.27425501
77	0.2724247004
78	0.2712494803
79	0.2696627329
80	0.2692939058
81	0.2687388019
82	0.2682834071
83	0.2669098167
84	0.2655202782
85	0.2631763493
86	0.2621072029
87	0.2609394342
88	0.259622081
89	0.2574983736
90	0.2566379818
91	0.2557709219
92	0.2543362431
93	0.2531744072
94	0.2524030618
95	0.2514371376
96	0.2506307402
97	0.2504132979
98	0.2495452717
99	0.2489832279
