iter	Passed	Remaining
0	5	541
1	10	514
2	15	485
3	19	467
4	24	456
5	29	461
6	33	451
7	38	442
8	42	434
9	47	427
10	51	420
11	56	414
12	61	408
13	65	402
14	69	396
15	75	395
16	80	390
17	84	384
18	89	379
19	92	368
20	97	364
21	101	360
22	106	355
23	110	350
24	115	346
25	120	341
26	126	341
27	131	337
28	135	332
29	139	324
30	144	321
31	148	316
32	153	312
33	158	308
34	163	303
35	167	298
36	172	293
37	177	289
38	181	284
39	187	280
40	191	275
41	196	270
42	200	265
43	205	260
44	209	256
45	213	251
46	218	246
47	222	241
48	227	236
49	231	231
50	236	226
51	240	222
52	245	217
53	249	212
54	254	207
55	258	203
56	262	198
57	268	194
58	272	189
59	277	184
60	281	180
61	286	175
62	291	170
63	295	166
64	299	161
65	304	156
66	308	152
67	313	147
68	318	142
69	322	138
70	326	133
71	331	128
72	333	123
73	337	118
74	342	114
75	346	109
76	351	104
77	355	100
78	360	95
79	365	91
80	370	86
81	375	82
82	383	78
83	387	73
84	392	69
85	397	64
86	401	59
87	405	55
88	410	50
89	414	46
90	419	41
91	423	36
92	428	32
93	432	27
94	437	23
95	441	18
96	446	13
97	450	9
98	455	4
99	459	0
