iter	MultiClass
0	0.811191894
1	0.6970839803
2	0.6434718148
3	0.6140401038
4	0.5874298012
5	0.5727652416
6	0.5544939646
7	0.5421303076
8	0.5308931203
9	0.5199931582
10	0.5135504268
11	0.5032787692
12	0.498490213
13	0.486839847
14	0.4800365007
15	0.4734616573
16	0.4673374062
17	0.461114928
18	0.4553114186
19	0.4512226003
20	0.4472937515
21	0.4436150156
22	0.4372520017
23	0.4324993076
24	0.428132763
25	0.4245655094
26	0.4209258849
27	0.4161397548
28	0.4112072678
29	0.408552616
30	0.403340685
31	0.3977266272
32	0.3953667058
33	0.392772058
34	0.3882256381
35	0.3854151308
36	0.3807319413
37	0.3763201533
38	0.3720655578
39	0.3684105067
40	0.3647508122
41	0.361575771
42	0.3588885785
43	0.3548121344
44	0.3519028439
45	0.34727414
46	0.3431599902
47	0.3396308827
48	0.3364319438
49	0.3323997336
50	0.3287790057
51	0.3263801889
52	0.3233717565
53	0.3197737457
54	0.3162829884
55	0.3131865776
56	0.3088974174
57	0.3061188052
58	0.3026628457
59	0.3010357484
60	0.2970564062
61	0.2957369685
62	0.2935162954
63	0.2901059182
64	0.2878195606
65	0.2860454613
66	0.2835529522
67	0.2816838491
68	0.2800612837
69	0.2757961875
70	0.2750605585
71	0.2730498803
72	0.2705382649
73	0.2678465082
74	0.2661679053
75	0.2638278566
76	0.2610102587
77	0.2588112601
78	0.2570948617
79	0.2556656249
80	0.2536190547
81	0.2519506506
82	0.2509357514
83	0.2496190618
84	0.2473453858
85	0.2449419209
86	0.2423067914
87	0.2397278836
88	0.2378187373
89	0.2349454089
90	0.2330945157
91	0.2314759709
92	0.2291588649
93	0.2275675437
94	0.224948317
95	0.2229868177
96	0.2209586347
97	0.2195349012
98	0.2180472472
99	0.2151367342
