iter	Passed	Remaining
0	25	2545
1	42	2094
2	60	1942
3	76	1830
4	92	1752
5	109	1711
6	125	1667
7	141	1625
8	157	1590
9	173	1560
10	189	1529
11	205	1505
12	220	1477
13	236	1451
14	252	1431
15	267	1405
16	283	1383
17	299	1364
18	314	1342
19	330	1320
20	345	1298
21	360	1277
22	375	1256
23	391	1239
24	406	1219
25	422	1201
26	437	1184
27	454	1169
28	471	1153
29	487	1136
30	505	1124
31	522	1110
32	538	1093
33	554	1077
34	570	1060
35	586	1042
36	602	1025
37	617	1007
38	633	990
39	649	974
40	665	957
41	680	939
42	696	923
43	712	906
44	727	889
45	743	872
46	759	856
47	775	840
48	792	824
49	808	808
50	823	791
51	839	774
52	854	757
53	870	741
54	886	724
55	901	708
56	917	691
57	932	675
58	948	659
59	963	642
60	979	626
61	993	609
62	1009	592
63	1025	576
64	1040	560
65	1056	544
66	1072	528
67	1087	511
68	1104	496
69	1120	480
70	1136	464
71	1151	447
72	1167	431
73	1183	415
74	1198	399
75	1215	383
76	1231	367
77	1247	351
78	1263	335
79	1278	319
80	1293	303
81	1309	287
82	1324	271
83	1340	255
84	1355	239
85	1371	223
86	1387	207
87	1403	191
88	1418	175
89	1435	159
90	1451	143
91	1466	127
92	1482	111
93	1498	95
94	1515	79
95	1530	63
96	1546	47
97	1561	31
98	1577	15
99	1593	0
