iter	MultiClass
0	0.6503704888
1	0.5325656556
2	0.4700090893
3	0.4147726174
4	0.3880227923
5	0.3765346321
6	0.3648780192
7	0.3490408334
8	0.3437792406
9	0.3363991189
10	0.3292508486
11	0.3217973558
12	0.3159228338
13	0.3102035825
14	0.3045202914
15	0.3010158465
16	0.2969615737
17	0.2931141517
18	0.289360245
19	0.287418436
20	0.2828353762
21	0.27843202
22	0.2749097531
23	0.2707321252
24	0.265185356
25	0.2615213815
26	0.2564630098
27	0.2533124059
28	0.2483493159
29	0.2456103915
30	0.2429649783
31	0.2393704099
32	0.2375927364
33	0.2339869566
34	0.2317951211
35	0.2292863266
36	0.227643101
37	0.2253116058
38	0.2230008636
39	0.2210338086
40	0.2194894142
41	0.2148223911
42	0.2115751802
43	0.2089772534
44	0.2073308444
45	0.2060940411
46	0.2024677718
47	0.201312556
48	0.1999304376
49	0.1982133939
50	0.1951140386
51	0.1922891559
52	0.1907864839
53	0.1879603388
54	0.1862101533
55	0.1844119423
56	0.1806846088
57	0.1798278892
58	0.1789636644
59	0.1770731218
60	0.1755101454
61	0.1739804102
62	0.1723275885
63	0.1709011327
64	0.1687751671
65	0.1664253214
66	0.1653250557
67	0.1642270564
68	0.1626699369
69	0.1611355487
70	0.1603884445
71	0.1594581353
72	0.1573549874
73	0.1561160519
74	0.1548055489
75	0.1537176043
76	0.1520974895
77	0.1514144458
78	0.1507373498
79	0.1483471178
80	0.1472688744
81	0.1456539969
82	0.1444960326
83	0.1435449657
84	0.1428905643
85	0.1420253736
86	0.1413679907
87	0.1396055303
88	0.1383238887
89	0.1376880556
90	0.1371281903
91	0.1361057693
92	0.1349112745
93	0.1340288452
94	0.1332857087
95	0.1325575979
96	0.1319075745
97	0.1303292042
98	0.1294965335
99	0.128556938
