iter	Passed	Remaining
0	113	11249
1	214	10513
2	318	10287
3	420	10090
4	525	9987
5	628	9841
6	728	9684
7	831	9567
8	932	9432
9	1035	9319
10	1138	9208
11	1243	9120
12	1349	9031
13	1450	8910
14	1559	8837
15	1663	8731
16	1785	8716
17	1912	8712
18	2017	8602
19	2113	8452
20	2212	8322
21	2310	8192
22	2420	8102
23	2520	7981
24	2627	7883
25	2729	7767
26	2832	7658
27	2934	7545
28	3045	7455
29	3164	7382
30	3276	7292
31	3380	7182
32	3484	7074
33	3591	6971
34	3691	6855
35	3795	6747
36	3895	6633
37	3995	6518
38	4094	6403
39	4208	6312
40	4311	6204
41	4427	6114
42	4539	6017
43	4647	5915
44	4753	5810
45	4852	5696
46	4958	5591
47	5060	5482
48	5175	5386
49	5283	5283
50	5387	5176
51	5497	5074
52	5606	4971
53	5721	4873
54	5830	4770
55	5937	4665
56	6046	4561
57	6143	4448
58	6240	4336
59	6338	4225
60	6443	4119
61	6542	4010
62	6645	3902
63	6746	3795
64	6854	3691
65	6964	3587
66	7073	3483
67	7176	3377
68	7285	3273
69	7394	3168
70	7498	3062
71	7624	2964
72	7731	2859
73	7837	2753
74	7950	2650
75	8060	2545
76	8161	2437
77	8261	2330
78	8362	2222
79	8464	2116
80	8576	2011
81	8706	1911
82	8809	1804
83	8916	1698
84	9025	1592
85	9136	1487
86	9241	1380
87	9348	1274
88	9457	1168
89	9557	1061
90	9663	955
91	9770	849
92	9873	743
93	9973	636
94	10077	530
95	10178	424
96	10275	317
97	10375	211
98	10479	105
99	10588	0
