iter	RMSE
0	1029779.205
1	1015909.575
2	1011468.402
3	1008084.223
4	1003879.567
5	1001675.475
6	1000703.108
7	999577.6279
8	998821.6302
9	988014.4808
10	987409.0677111	986975.8109
12	986576.8341
13	985330.0386
14	976080.8507
15	975790.746
16	975316.1371
17	974872.2554
18	974645.9453
19	974131.8828
20	973638.6618
21	973413.5748
22	968929.82
23	968003.6478
24	967658.3234
25	966928.3584
26	906453.4129
27	854706.1083
28	853872.5357
29	852717.4495
30	852445.9767
31	851238.8397
32	850588.5686
33	850374.1963
34	806094.8014
35	768040.8444
36	735953.191
37	709052.7945
38	686394.5383
39	684698.3678
40	683385.2014
41	682748.1616
42	682000.0641
43	681589.0211
44	680702.3992
45	680528.5446
46	679312.6028
47	678792.081
48	677469.947
49	667396.2036
50	658635.9651
51	658483.3709
52	657548.7222
53	657275.2645
54	640748.609
55	640634.0038
56	640046.8554
57	639230.0648
58	638385.8323
59	637609.191
60	636933.7473
61	636730.8211
62	635279.0961
63	634740.396
64	634357.3619
65	633824.492
66	633221.7526
67	633119.4891
68	632404.5427
69	632063.1502
70	631045.9363
71	617017.1181
72	605663.195
73	605555.8718
74	605033.1447
75	603481.9376
76	602738.5282
77	601702.9989
78	601098.6197
79	599997.6493
80	595899.6458
81	595496.362
82	593973.5426
83	593654.6295
84	593117.7075
85	593046.5875
86	592474.019
87	591829.8695
88	591060.5975
89	590551.6006
90	590372.5372
91	590391	512192	5896992	511593	5895193	511294	5886794	510695	5872395	510696	5863096	510097	5860397	509498	5857998	509299	5856499	508660.8416
