iter	Passed	Remaining
0	52	5189
1	91	4468
2	141	4571
3	174	4192
4	211	4012
5	244	3827
6	270	3597
7	305	3516
8	339	3432
9	371	3347
10	400	3240
11	443	3249
12	498	3334
13	551	3386
14	584	3312
15	614	3228
16	648	3164
17	687	3133
18	723	3082
19	760	3042
20	805	3031
21	849	3013
22	889	2978
23	928	2940
24	955	2865
25	980	2789
26	1005	2717
27	1038	2669
28	1067	2612
29	1114	2600
30	1156	2574
31	1207	2566
32	1253	2544
33	1275	2475
34	1304	2422
35	1337	2376
36	1369	2331
37	1396	2279
38	1442	2256
39	1494	2242
40	1545	2223
41	1583	2186
42	1634	2166
43	1682	2141
44	1727	2110
45	1768	2075
46	1820	2053
47	1866	2021
48	1907	1985
49	1947	1947
50	1977	1900
51	2004	1850
52	2032	1802
53	2058	1753
54	2089	1709
55	2114	1661
56	2144	1617
57	2174	1574
58	2202	1530
59	2231	1487
60	2261	1446
61	2288	1402
62	2338	1373
63	2373	1334
64	2401	1293
65	2431	1252
66	2458	1210
67	2483	1168
68	2524	1134
69	2559	1097
70	2609	1065
71	2649	1030
72	2681	991
73	2709	951
74	2737	912
75	2769	874
76	2804	837
77	2835	799
78	2868	762
79	2898	724
80	2928	686
81	2971	652
82	3004	615
83	3040	579
84	3083	544
85	3124	508
86	3159	472
87	3185	434
88	3217	397
89	3243	360
90	3270	323
91	3346	291
92	3393	255
93	3428	218
94	3465	182
95	3491	145
96	3521	108
97	3550	72
98	3572	36
99	3594	0
