iter	RMSE
0	24021.06417
1	20070.21631
2	17410.0507
3	15120.30319
4	13383.11003
55	12360.344766	11202.1283
7	10253.8565
8	98	9281.06149	9179.275403
10	10	8499.31311	11	8329.412112	8520.590428
13	8415.077724
14	8264.015667
15	8133.727593
16	8070.962691
17	7991.039947
18	7952.729436
19	7904.419976
20	7836.521469
21	7773.514674
22	7663.00735
23	723	7129.08424	724	7034.825	7547.359183
26	7505.29446
27	7450.728268
28	7412.090032
29	7320.218596
30	7223.096155
31	7180.254801
32	7102.990322
33	7050.632691
34	699234	6528.827046
35	6507.736854
36	645937	6778.85608
38	6744.469152
39	6704.884183
40	6656.40	6193.279298
41	6134.066073
42	608243	65243	6406.712232
4444	6006.9609745	6294.019206
46	6216.854913
47	6180.39825
48	6121.464877
49	6044.131796
5050	5672.492464
51	5641.953334
52	5597.427923
53	5540.446813
54	5491.5562755	5812.693767
5656	5394.12104
57	5369.014907
58	5336.54905
59	5313.582911
60	5278.637663
61	5239.228708
62	5229.274414
63	5207.41675
664	5573.55378
65	5562.179445
66	5547.549656
67	5538.123438
68	5504.78579
69	5480.716259
70	5454.551906
771	5013.93655872	5424.680053
773	4970.79728674	5355.683778
75	4917.339615
76	4889.094703
77	4849.4847
78	4820.117901
79	4796.916937
80	4789.545433
81	4765.002922
82	4756.00798
83	4728.362822
84	4715.855802
85	4693.591794
86	4669.949991
87	4633.292451
88	4618.180649
89	4586.752026
90	4563.092559
91	4542.865257
92	4516.913156
93	4495.532993
94	4450.718943
95	4444.582613
96	4436.322375
97	4419.034591
98	4411.337588
99	4387.135822
4
