iter	Passed	Remaining
0	0	65
1	1	55
2	1	51
3	2	59
4	2	55
55	7	126	8	118
7	9	108	9	98
9	9	9	8910	10	84
11	10	79
112	15	104
13	15	97
14	16	92
15	19	100
16	19	95
17	19	90
18	23	99
19	23	94
20	24	90
21	24	22	22	24	23	25	79
24	25	76
25	25	31	90
26	32	86
27	32	83
28	35	87
29	36	84
30	39	87
31	39	84
32	40	81
33	40	78
34	434	49	91
35	49	88
36	5037	45	74
38	45	71
39	46	69
40	440	51	74
41	52	72
42	5243	49	63
44	544	57	70
45	57	68
46	58	65
445	67	79
46	68	7649	61	61
50	67	64
51	67	62
52	67	60
53	68	58
54	68	56
55	72	56
56	77	58
57	78	56
58	78	54
59	79	52
60	79	50
61	79	49
62	80	47
63	81	45
64	81	43
65	82	42
664	94	5067	86	40
666	96	47
67	96	4570	90	36
71	91	35
72	91	34
73	94	33
74	94	31
75	94	29
76	95	28
77	95	27
78	97	25
79	98	24
80	98	23
81	99	21
82	101	20
83	101	19
84	104	18
85	104	17
86	106	15
87	106	14
88	106	13
89	107	11
90	107	10
91	107	9
92	108	8
93	108	6
94	108	5
95	108	4
96	109	3
97	109	2
98	109	1
99	110	0
	3
97	113	2
98	114	1
99	114	0
