iter	RMSE
0	13818.36172
1	12860.96309
2	12331.26561
3	12018.66068
4	11819.59863
5	11661.99319
6	11570.60189
7	11545.25189
8	11503.24342
9	11483.42386
10	11468.9952
11	11462.4919
12	11458.75881
13	11453.51128
14	11450.49016
15	11448.76237
16	11448.25105
17	11447.53789
18	11447.33104
19	11447.00678
20	11446.88421
21	11446.69737
22	11446.60535
23	11446.57912
24	11446.52407
25	11446.51454
26	11446.48528
27	11446.46892
28	11446.4591
29	11446.45907
30	11446.45489
31	11446.45131
32	11446.45099
33	11446.44978
34	11446.44816
35	11446.44718
36	11446.44662
37	11446.44634
38	11446.44619
39	11446.44606
40	11446.44598
41	11446.44594
42	11446.44591
43	11446.44591
44	11446.44589
45	11446.44589
46	11446.44588
47	11446.44588
48	11446.44588
49	11446.44587
50	11446.44587
51	11446.44587
52	11446.44587
53	11446.44587
54	11446.44587
55	11446.44587
56	11446.44587
57	11446.44587
58	11446.44587
59	11446.44587
60	11446.44587
61	11446.44587
62	11446.44587
63	11446.44587
64	11446.44587
65	11446.44587
66	11446.44587
67	11446.44587
68	11446.44587
69	11446.44587
70	11446.44587
71	11446.44587
72	11446.44587
73	11446.44587
74	11446.44587
75	11446.44587
76	11446.44587
77	11446.44587
78	11446.44587
79	11446.44587
80	11446.44587
81	11446.44587
82	11446.44587
83	11446.44587
84	11446.44587
85	11446.44587
86	11446.44587
87	11446.44587
88	11446.44587
89	11446.44587
90	11446.44587
91	11446.44587
92	11446.44587
93	11446.44587
94	11446.44587
95	11446.44587
96	11446.44587
97	11446.44587
98	11446.44587
99	11446.44587
