iter	Passed	Remaining
0	0	46
1	0	36
2	0	29
3	1	27
4	1	24
5	1	25
6	6	91
7	7	81
8	7	73
9	7	66
10	7	61
11	7	56
12	7	53
13	8	50
14	8	47
15	8	44
16	8	42
17	8	40
18	8	38
19	13	55
20	14	53
21	15	53
22	15	53
23	16	51
24	16	49
25	16	46
26	16	45
27	18	47
28	18	46
29	19	46
30	19	44
31	20	42
32	20	41
33	20	39
34	20	38
35	24	42
36	24	41
37	24	40
38	24	38
39	24	37
40	25	36
41	25	34
42	25	33
43	31	40
44	31	39
45	32	37
46	32	36
47	32	35
48	32	34
49	33	33
50	35	34
51	35	33
52	37	32
53	37	32
54	38	31
55	38	30
56	38	29
57	38	28
58	38	27
59	39	26
60	39	25
61	39	24
62	40	23
63	40	22
64	40	21
65	40	20
66	40	20
67	40	19
68	40	18
69	41	17
70	41	16
71	41	16
72	41	15
73	41	14
74	41	13
75	42	13
76	42	12
77	42	11
78	42	11
79	42	10
80	42	10
81	43	9
82	43	8
83	43	8
84	43	7
85	43	7
86	43	6
87	43	5
88	44	5
89	44	4
90	44	4
91	44	3
92	44	3
93	44	2
94	45	2
95	45	1
96	45	1
97	45	0
98	45	0
99	45	0
59	0
