iter	MultiClass
0	1.573053717
1	1.547945993
2	1.518306495
3	1.486333636
4	1.453360843
5	1.429040479
6	1.398097574
7	1.364046328
8	1.340373205
9	1.323086679
10	1.298867653
11	1.280907081
12	1.255796431
13	1.23998896
14	1.21546179
15	1.193808331
16	1.173954383
17	1.160612421
18	1.147912269
19	1.133583446
20	1.116291292
21	1.090226405
22	1.069472426
23	1.056244103
24	1.046199167
25	1.030733061
26	1.011130751
27	0.9966839366
28	0.9832275612
29	0.9590645418
30	0.9383172567
31	0.926769869
32	0.9081688918
33	0.8957291281
34	0.8828705957
35	0.8660957604
36	0.8524472509
37	0.8433336885
38	0.833340614
39	0.8239597278
40	0.8160183471
41	0.8041882807
42	0.7934608443
43	0.7850721015
44	0.7789863811
45	0.7702008748
46	0.7610761719
47	0.7519645036
48	0.7372417378
49	0.7295006928
50	0.7214359986
51	0.7111885282
52	0.7041672204
53	0.6942806279
54	0.6816101703
55	0.674895942
56	0.6697852319
57	0.6621582
58	0.6540609705
59	0.6471753996
60	0.6413210754
61	0.6328975999
62	0.6300039513
63	0.6237099403
64	0.6158693333
65	0.6070593481
66	0.5986565611
67	0.5922399921
68	0.5857008529
69	0.578875551
70	0.5745234702
71	0.5654166948
72	0.5547844359
73	0.5467583428
74	0.5385700862
75	0.5332194058
76	0.5272213102
77	0.5204468585
78	0.5173313251
79	0.5132136737
80	0.5096637736
81	0.5040316415
82	0.498012511
83	0.4916436901
84	0.4873364451
85	0.4838979388
86	0.4805360958
87	0.4747916438
88	0.4694173664
89	0.4646086162
90	0.4584164002
91	0.4521032232
92	0.4463045848
93	0.440603996
94	0.4371313545
95	0.4337953952
96	0.4284297732
97	0.4252226129
98	0.4224241111
99	0.4172817314
9
