iter	Passed	Remaining
0	28	2816
1	50	2496
2	79	2586
3	107	2590
4	126	240955	146	228966	159	211677	176	202688	192	194499	208	1876
10	224	1814
11	238	1749
12	256	1719
13	270	1660
14	286	1622
15	304	1600
16	322	1576
17	338	1542
18	352	1504
19	370	1483
20	384	1445
21	398	1414
22	416	1393
23	430	1363
24	450	1352
25	468	1333
26	483	1307
27	502	1292
28	522	1278
29	536	1251
30	552	1230
31	571	1214
32	587	1192
33	604	1173
34	621	1154
35	637	1134
36	649	1106
37	666	1087
38	681	1066
39	702	1053
40	723	1041
41	735	1015
42	753	998
43	769	979
44	786	960
45	799	938
46	815	919
47	832	902
48	851	885
49	863	863
50	877	842
51	896	827
52	912	808
53	928	790
54	946	774
55	958	753
56	976	736
57	992	718
58	1009	701
59	1020	680
60	1030	658
61	1047	642
62	1062	623
63	1073	603
64	1086	584
65	1099	566
66	1110	547
67	1122	528
68	1134	509
69	1145	490
70	1156	472
71	1167	454
72	1180	436
73	1190	418
74	1201	400
75	1212	383
76	1226	366
77	1235	348
78	1244	330
79	1254	313
80	1264	296
81	1273	279
82	1284	263
83	1294	246
84	1304	230
85	1316	214
86	1327	198
87	1336	182
88	1344	166
89	1353	150
90	1360	134
91	1368	118
92	1373	103
93	1379	88
94	1386	72
95	1393	58
96	1397	43
97	1402	28
98	1406	14
99	1410	0
