iter	Passed	Remaining
0	1	115
1	1	85
2	2	93
3	3	84
4	4	79
5	4	76
6	5	71
7	5	68
8	6	65
9	7	64
110	14	111	11	17	125
12	13	11	71314	12	70115	12	67
15	22	118116	23	1118	18	77
19	21	84
20	21	81
21	22	78
22	2221	323	23	22	24	23	71
25	24	70
26	25	68
27	26	67
28	29	72
29	30	70
30	30	68
31	31	67
32	34	70
33	35	68
3432	46	95
33	47	936	40	68
37	40	66
3836	52	89
37	53	87
38	56	87
39	58	88
40	59	85
41	60	83
42	60	80
43	61	78
44	70	85
45	70	82
46	74	84
47	75	81
48	76	79
49	76	76
50	83	79
51	90	83
52	94	84
53	97	83
54	98	80
55	98	77
56	104	78
57	104	75
58	105	73
59	105	70
60	110	70
61	111	68
62	112	65
63	115	64
64	117	63
65	118	61
66	121	59
67	122	57
68	127	57
69	127	54
70	129	53
71	130	50
72	131	48
73	132	46
74	132	44
75	133	42
76	144	43
77	147	41
78	149	39
79	152	38
80	155	36
81	156	34
82	157	32
83	157	30
84	158	27
85	159	25
86	159	23
87	160	21
88	161	19
89	161	17
90	162	16
91	163	14
92	163	12
93	164	10
94	164	8
95	165	6
96	166	5
97	166	3
98	167	1
99	167	0
8	3
98	159	1
99	160	0
