iter	RMSE
0	59075.83177
1	59043.10757
2	59030.32601
3	59017.0557
4	59009.45904
5	59005.11061
6	59003.74063
7	59003.34124
8	59002.48782
9	59001.12258
10	59000.33911
11	58999.89062
12	58999.68497
13	58999.51617
14	58999.41955
15	58999.36424
16	58999.33258
17	58999.32664
18	58999.31106
19	58999.30281
20	58999.29742
21	58999.29434
22	58999.2923	58970.43445
24	58970.4331
25	58970.43231
26	58970.43186
27	58970.4316
28	58970.43153
29	58970.43153
30	58970.43145
31	58970.43136
32	58970.43135
33	58970.43131
34	58934	58999.29024
35	58999.29024
36	58999.29022
37	58999.29022
38	58999.29021
39	58999.29021
40	58999.29021
41	58999.29021
42	58999.29021
43	58999.29021
44	58999.29021
45	58999.29021
46	58999.29021
47	58999.29021
48	58999.29021
49	58999.29021
50	58999.29021
51	58999.29021
52	58999.29021
53	58999.29021
54	58999.29021
55	58999.29021
56	58999.29021
57	58999.29021
58	58999.29021
59	58999.29021
60	58999.29021
61	58999.29021
62	58999.29021
63	58999.29021
64	58999.29021
65	58999.29021
66	58999.29021
67	58999.29021
68	58999.29021
69	58999.29021
70	58999.29021
71	58999.29021
72	58999.29021
73	58999.29021
74	58999.29021
75	58999.29021
76	58999.29021
77	58999.29021
78	58999.29021
79	58999.29021
80	58999.29021
81	58999.29021
82	58999.29021
83	58999.29021
84	58999.29021
85	58999.29021
86	58999.29021
87	58999.29021
88	58999.29021
89	58999.29021
90	58999.29021
91	58999.29021
92	58999.29021
93	58999.29021
94	58999.29021
95	58999.29021
96	58999.29021
97	58999.29021
98	58999.29021
99	58999.29021
