iter	Passed	Remaining
0	0	95
1	1	53
2	1	38
3	1	31
4	1	27
5	1	24
6	1	21
7	4	50
8	4	45
9	4	41
10	4	38
11	4	35
12	4	32
13	5	31
14	5	29
15	5	27
16	5	26
17	5	25
18	5	23
19	5	22
20	5	21
21	5	20
22	6	20
23	14	46
24	14	44
25	14	42
26	15	40
27	15	39
28	15	37
29	15	35
30	15	34
31	15	33
32	15	334	15	28
35	15	27
36	15	26
37	15	25
38	17	26
39	17	26
40	19	27
41	19	26
42	19	25
43	19	24
44	19	24
45	19	23
46	20	22
47	20	21
48	20	21
49	20	20
50	20	19
51	20	19
52	20	18
53	21	17
54	21	17
55	21	16
56	21	16
57	21	15
58	21	15
59	21	14
60	22	14
61	22	13
62	22	13
63	22	12
64	22	12
65	22	11
66	22	11
67	23	10
68	23	10
69	23	10
70	23	9
71	23	9
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	6
78	24	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	25	4
86	25	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	1
93	26	1
94	26	1
95	26	1
96	27	0
97	27	0
98	27	0
99	27	0
	0
99	28	0
