iter	Passed	Remaining
0	74	7353
1	117	5747
2	154	5008
3	183	4412
4	214	4075
5	252	3962
6	296	3941
7	341	3929
8	381	3854
9	425	3825
10	469	3799
11	511	3754
12	554	3710
13	589	3621
14	623	3533
15	661	3472
16	705	3445
17	746	3400
18	785	3349
19	821	3284
20	856	3221
21	896	3177
22	937	3137
23	971	3074
24	1009	3028
25	1050	2990
26	1083	2930
27	1116	2872
28	1149	2813
29	1199	2798
30	1239	2759
31	1299	2761
32	1350	2742
33	1411	2739
34	1454	2701
35	1495	2657
36	1529	2603
37	1567	2557
38	1609	2516
39	1655	2483
40	1698	2444
41	1735	2397
42	1773	2350
43	1816	2312
44	1859	2272
45	1896	2225
46	1939	2187
47	1970	2134
48	1998	2079
49	2037	2037
50	2082	2001
51	2125	1962
52	2171	1925
53	2220	1891
54	2261	1850
55	2303	1809
56	2334	1761
57	2373	1718
58	2419	1681
59	2452	1634
60	2488	1591
61	2523	1546
62	2571	1510
63	2611	1469
64	2655	1429
65	2702	1391
66	2746	1352
67	2789	1312
68	2828	1270
69	2871	1230
70	2919	1192
71	2954	1148
72	2996	1108
73	3045	1069
74	3088	1029
75	3132	989
76	3171	947
77	3220	908
78	3258	866
79	3291	822
80	3323	779
81	3355	736
82	3385	693
83	3411	649
84	3434	606
85	3460	563
86	3477	519
87	3496	476
88	3513	434
89	3528	392
90	3542	350
91	3555	309
92	3569	268
93	3582	228
94	3596	189
95	3609	150
96	3623	112
97	3636	74
98	3650	36
99	3663	0
