iter	RMSE
0	20446.39102
1	18761.42367
2	17259.06592
3	16110.43504
4	14927.49119
5	13375.77409
6	12577.73442
7	11355.00751
8	10432.69448
9	9557.117926
10	8764.243841
11	8038.334005
12	7439.157825
13	6848.653388
14	6313.791332
15	5957.567399
16	5508.452862
17	5043.656046
18	4693.049772
19	4355.614624
20	4127.447655
21	3859.849042
22	3611.735124
23	3452.869215
24	3162.368483
25	2989.972331
26	2840.624164227	2695.289279228	2568.114592229	2453.323223330	2364.794007331	2275.310874
32	2192.706275
33	2117.74272
34	2054.106808
35	2005.260682
36	1956.269749
37	1921.829874
38	1882.779385
39	1858.557009
40	1830.249099
41	1810.332312
42	1787.286813
43	1769.338673
44	1755.660089
45	1741.215892
46	1729.980713
47	1718.121134
48	1708.034675
49	1698.48066
50	1690.834742
51	1686.100681
52	1680.293983
53	1674.522825
54	1670.05929
55	1667.894687
56	1664.934472
57	1661.894282
58	1659.410634
59	1656.653576
60	1654.899648
61	1653.410663
62	1651.488715
63	1650.002333
64	1648.332558
65	1648.179619
66	1647.010027
67	1645.256359
68	1644.193113
69	1643.078422
70	1641.841541
71	1640.736573
72	1640.007644
73	1639.206719
74	1638.263046
75	1637.723035
76	1637.227716
77	1636.796982
78	1636.106282
79	1635.647481
80	1635.25
81	1634.8175
82	1634.722702
83	1633.733636
84	1633.476277
85	1632.932022
86	1632.439452
87	1632.243466
88	1631.745955
89	1631.420698
90	1630.893815
91	1630.228156
92	1629.868155
93	1629.53578
94	1629.174488
95	1628.705292
96	1628.460931
97	1628.129526
98	1627.808522
99	1627.595157
61
