iter	Passed	Remaining
0	2	206
1	2	112	2	4	143	4	104
4	4	88
5	5	6	96	7	93
7	7	14	166
8	14	149
9	15	135
10	16	133
11	16	122
12	17	113
13	17	106
14	15	17	92
16	20	98
17	20	17	22	101
18	22	96
19	24	98
20	25	95
21	25	91
22	26	87
2324	26	79
25	28	81
26	28	78
27	29	75
28	30	73
29	30	71
30	31	70
31	32	68
32	32	66
33	33	65
34	33	63
35	35	62
36	35	60
37	36	59
38	37	57
39	37	55
40	38	55
41	39	54
42	39	52
43	40	51
44	41	51
45	43	51
46	43	49
47	44	47
48	47	48
49	47	47
50	47	45
51	47	44
52	48	42
53	48	41
54	48	39
55	48	38
56	49	37
57	49	35
58	49	34
59	49	33
60	50	32
61	50	30
62	50	29
63	53	30
64	53	29
65	53	27
66	54	26
67	55	25
68	55	24
69	55	23
70	56	22
71	56	21
72	56	21
73	57	20
74	57	19
75	57	18
76	58	17
77	58	16
78	58	15
79	58	14
80	59	13
81	59	13
82	59	12
83	60	11
84	60	10
85	60	9
86	60	9
87	61	8
88	61	7
89	61	6
90	62	6
91	62	5
92	62	4
93	62	4
94	63	3
95	63	2
96	63	1
97	63	1
98	63	0
99	64	0
3	0
