iter	RMSE
0	3147.151244
1	2403.848609
2	1853.627848
3	1446.640061
4	1141.662223
5	892.3997904
6	724.2220626
7	599.5198894
8	512.1654987
9	447.2450467
10	405.511634
11	382.9153544
12	364.2014197
13	350.6925595
14	342.9860576
15	337.0642789
16	333.7157938
17	330.1177923
18	327.5273027
19	325.6028605
20	323.7116843
21	322.6753954
22	320.9423235
23	319.9872262
24	318.7069794
25	317.1755696
26	315.5679026
27	314.0002214
28	312.7161569
29	311.4664536
30	309.4482076
31	308.3289731
32	307.1426164
33	305.5522767
34	304.03489
35	302.9289624
36	302.0649717
37	300.6639238
38	299.3207966
39	298.6506675
40	297.6775411
41	296.454656
42	295.4796912
43	294.7928617
44	294.196013
45	293.171172
46	292.6165053
47	290.9991029
48	289.7895613
49	289.0069758
50	287.6117227
51	286.7528075
52	285.3839115
53	284.7733002
54	284.1936237
55	283.4627566
56	282.7834205
57	281.9428646
58	281.3507229
59	280.602902
60	279.6626705
61	279.2540036
62	278.5696768
63	278.2075151
64	277.4850892
65	276.7826841
66	276.3440677
67	275.4603958
68	274.9566878
69	274.3188907
70	273.9727218
71	273.4853757
72	272.4621165
73	271.875535
74	271.5180754
75	270.8025769
76	270.2595089
77	269.8718731
78	269.2979928
79	269.0709513
80	268.3772129
81	267.9496726
82	267.5710023
83	267.1725931
84	266.724688
85	266.4734444
86	265.9231914
87	265.38213
88	265.0121151
89	264.6997729
90	264.4991514
91	264.1154659
92	263.5954386
93	263.1734518
94	262.7251608
95	262.4262087
96	262.0994698
97	261.9142803
98	261.1084194
99	260.7806108
3
