iter	Passed	Remaining
0	1	143
1	1	82
2	5	163
3	5	129
4	7	143
5	7	121
6	8	107
7	12	145
8	14	147
9	20	181
10	23	190
11	26	196
12	28	189
13	32	201
14	33	187
15	36	190
16	39	194
17	40	182
18	42	183
19	43	173
20	43	164
21	43	155
22	44	149
23	44	142
24	48	144
25	48	138
26	48	132
27	53	137
28	59	146
29	64	150
30	67	150
31	70	150
32	71	144
33	71	138
34	71	133
35	72	128
36	72	123
37	77	126
38	81	128
39	82	123
40	89	128
41	89	124
42	90	119
43	90	115
44	90	110
45	91	107
46	92	103
47	95	103
48	98	102
49	98	98
50	99	95
51	99	91
52	99	88
53	100	85
54	100	82
55	100	79
56	109	82
57	111	81
58	113	79
59	114	76
60	116	74
61	120	74
62	121	71
63	121	68
64	127	68
65	128	66
66	129	63
67	129	60
68	129	58
69	130	55
70	130	53
71	130	50
72	131	48
73	131	46
74	132	44
75	132	41
76	132	39
77	133	37
78	133	35
79	134	33
80	134	31
81	134	29
82	135	27
83	135	25
84	136	24
85	136	22
86	136	20
87	137	18
88	137	17
89	138	15
90	138	13
91	138	12
92	139	10
93	139	8
94	140	7
95	140	5
96	140	4
97	144	2
98	144	1
99	145	0
