iter	RMSE
0	1375.68855
1	1283.153732
2	1194.560007
3	1108.617075
4	1033.749372
5	961.6251533
6	895.2126464
7	839.8037861
8	784.8603883
9	734.501525
10	687.269573
11	644.001632
12	605.5742423
13	571.0534299
14	541.5128015
15	510.5516411
16	483.0256087
17	458.3671215
18	435.2892879
19	412.8749356
20	396.4541736
21	377.6681185
22	360.0393833
23	350.3719036
24	334.9644468
25	324.6762454
26	312.2361064
27	302.7798301
2828	324.0903905
29	309.9964925
30	301.2455322
31	289.7005451
32	278.6201226
33	268.7179993
34	258.6808622
35	249.1615744
36	240.685112
37	232.4414155
38	224.9173739
39	220.1483974040	215.0761284141	207.8103564
42	200.98155043	201.0161168
44	196.5751073
4545	185.18975346	189.3262669
47	185.8610466
4848	172.35046449	178.3415871
50	175.1245421
51	171.8906513
52	168.5150805
53	165.3792869
54	162.2946002
55	158.8788994
56	156.0936251
57	153.2993735
58	150.7385831
59	148.2664064
60	145.8430648
61	143.6728817
662	130.924484
63	139.1625922
64	137.0934368
65	135.0184948
66	122.4637597
67	120.6006365
68	118.7470945
69	116.9529234
70	115.2773771
71	113.5871311
72	111.9976292
73	110.4491453
74	108.9792851
75	107.5634169
76	106.1226732
77	104.7205666
78	103.4222758
79	102.1096642
80	100.914918
81	99.73216836
82	98.55518756
83	97.49258184
84	96.46316265
85	95.48420503
86	94.5121732
87	93.60258689
88	92.72433862
89	91.78519067
90	90.9595512
91	90.21662169
92	89.24725988
93	88.5343286
94	87.83227248
95	87.08481111
96	86.25071664
97	85.45967127
98	84.70935107
99	84.09094178

