iter	Passed	Remaining
0	4	489
1	11	579
2	12	418
3	13	332
4	14	281
5	16	253
6	17	228
7	19	220
8	22	228
9	23	213
10	26	214
11	27	202
12	28	193
13	33	203
14	34	193
15	37	197
16	39	191
17	42	192
18	43	184
19	44	177
20	45	172
21	46	165
22	47	159
23	48	153
24	49	148
25	50	143
26	51	138
27	5228	59	145
29	61	144
30	62	139
31	67	142
32	72	146
33	72	140
34	73	136
35	74	132
36	78	133
37	78	128
38	79	124
39	79	119
40	80	115
41	84	116
42	84	112
43	8543	8144	8644	8245	90	105
46	946	83	47	47	84	48	94	98
49	49	89	89
50	92	89
51	93	86
52	94	84
53	99	84
54	101	83
55	104	81
56	104	79
57	105	76
58	106	73
59	108	72
60	108	69
61	109	6662	118	69
663	111	62
64	113	60
65	113	5866	127	62
67	127	60
68	128	57
69	129	55
70	129	53
71	142	55
72	143	52
73	143	50
74	144	48
75	153	48
76	154	46
77	156	44
78	159	42
79	161	40
80	162	38
81	163	35
82	164	33
83	165	31
84	166	29
85	166	27
86	167	24
87	168	22
88	169	20
89	169	18
90	170	16
91	172	15
92	173	13
93	174	11
94	175	9
95	176	7
96	177	5
97	178	3
98	178	1
99	179	0
