iter	RMSE
0	1375.68855
1	1283.153732
2	1194.560007
3	1108.617075
4	1033.749372
5	961.6251533
6	895.2126464
7	839.8037861
8	784.8603883
9	849.048276110	687.269573
11	644.001632
12	605.5742423
13	13	671.6173814	541.5128015
1515	602.8295272
16	570.9998754
17	544.0647063
18	515.8845071
19	490.2314194
20	467.2280271
21	444.0550861
22	423.7898138
23	403.5154632
24	386.2692223
25	368.0489678
26	352.8254866
27	338.1394582
28	324.0903905
29	309.9964925
30	301.2455322
31	289.7005451
32	278.6201226
33	268.7179993
34	258.6808622
35	249.1615744
36	240.68511237	238.8609399
38	230.7503769
39	226.311862
40	218.6152947
41	210.3796397
42	203.5227304
43	196.5492862
44	192.5195097
45	189.0974253
46	185.0263491
47	180.4179564
48	174.8229587
49	170.3485806
50	166.960666
51	163.6350153
52	158.8861266
53	154.7692854
54	151.6722926
55	148.7880426
56	145.9123892
57	143.0981129
58	140.0295597
59	137.5074409
60	135.2453166
61	132.971734
62	130.5368871
63	128.377884
64	126.2221278
65	124.2852067
66	122.3726035
67	120.5260289
68	118.7468157
69	117.0045186
70	115.2725266
71	113.5962867
72	112.0442765
73	110.5600481
74	108.9866529
75	107.6629601
76	106.3330268
77	105.0140155
78	103.7102606
79	102.4901725
80	101.373626
81	100.2802572
82	99.22723097
83	98.18831626
84	97.24095106
85	96.27122012
86	95.37447023
87	94.50536471
88	93.66749729
89	92.86771867
90	92.1004783
91	91.36730448
92	90.65363162
93	89.97158477
94	89.31156263
95	88.68129219
96	88.08663479
97	87.51879688
98	86.97853095
99	86.45119468
8
