iter	Passed	Remaining
0	5	554
1	6	311
2	6	226
3	8	204
4	10	2005	9	156
6	10	141
7	13	159
8	14	146
9	9	16	1510	15	127
11	16	120
12	17	113
1313	23	1414	20	118
1515	30	159
16	31	151
17	31	144
18	32	137
19	39	156
20	45	172
21	46	164
22	46	156
23	49	156
24	50	150
25	50	144
26	51	139
27	52	134
28	52	129
29	53	124
30	53	119
31	54	115
32	55	111
33	55	107
34	537	71	117
38	73	115
39	74	111
40	75	108
41	76	105
42	80	106
43	81	103
44	82	100
45	82	97
46	83	94
47	84	91
48	87	90
49	88	88
50	88	85
51	92	85
52	93	82
53	94	80
54	98	80
55	99	77
56	100	75
57	102	74
58	103	72
59	104	69
60	105	67
61	109	66
62	112	65
63	113	63
64	115	62
65	118	61
66	119	58
67	120	56
68	124	55
69	125	53
70	126	51
71	129	50
72	130	48
73	133	46
74	134	44
75	134	42
76	135	40
77	137	38
78	138	36
79	139	34
80	139	32
81	140	30
82	140	28
83	141	26
84	141	25
85	142	23
86	142	21
87	143	19
88	143	17
89	144	16
90	144	14
91	145	12
92	145	10
93	146	9
94	146	7
95	147	6
96	147	4
97	148	3
98	148	1
99	149	0
0
