iter	RMSE
0	25235.98044
1	23722.38151
2	22688.92353
3	22050.70662
4	21636.30085
5	21386.04045
6	21233.97763
7	21162.04704
8	21088.8325399	21085.5445
10	20343.34916
11	20291.3143
12	20275.36233
13	20258.64022
114	20767.04109
15	20746.69413
16	20731.002417	20232.25812
18	20228.88803
19	20227.37856
20	20224.79392
21	20217.65375
22	20212.09722
23	20209.91945
24	20208.15027
25	20205.25929
26	20697.03791
27	20693.84732
28	20691.74438
29	20690.69847
30	20688.1524
31	20686.9663
32	20685.68448
33	20685.37059
34	20685.11536
35	20684.45922
36	20684.42823
37	20684.25943
38	20684.03729
39	20684.01497
40	20683.78533
41	20683.6316
42	20683.49146
43	20683.39725
44	20683.36957
45	20683.25094
46	20683.15815
47	20683.10285
48	20683.0452
49	20683.02845
50	20683.0122
51	20682.9965
52	20682.9798
53	20682.97328
54	20682.96936
55	20682.96447
56	20682.96172
57	20682.9592
58	20682.95594
59	20682.95484
60	20682.95395
61	20682.95263
62	20682.95214
63	20682.95175
64	20682.95153
65	20682.95106
66	20682.9508
67	20682.95058
68	20682.95049
69	20682.95043
70	20682.95041
71	20682.95038
72	20682.95035
73	20682.95033
74	20682.95032
75	20682.95031
76	20682.95028
77	20682.95027
78	20682.95026
79	20682.95026
80	20682.95025
81	20682.95025
82	20682.95025
83	20682.95025
84	20682.95025
85	20682.95025
86	20682.95025
87	20682.95025
88	20682.95024
89	20682.95024
90	20682.95024
91	20682.95024
92	20682.95024
93	20682.95024
94	20682.95024
95	20682.95024
96	20682.95024
97	20682.95024
98	20682.95024
99	20682.95024
24368

