iter	Passed	Remaining
0	0	41
1	0	38
2	1	33
3	1	36
4	1	34
5	2	33
6	2	32
7	2	32
8	3	31
9	3	29
10	3	27
11	4	32
10	20	164
11	20	151
12	20	139
114	16	93
15	16	87
16	17	83
17	17	78
18	17	26	118
18	26	111
19	26	105
20	22	21	71
23	21	622	29	98
23	31	99
2426	29	79
27	29	76
28	29	73
29	30	70
30	30	68
31	33	72
32	35	73
33	39	75
34	39	73
35	39	70
36	42	72
37	45	74
38	46	72
39	55	83
40	56	80
41	56	77
42	56	75
43	57	72
44	57	70
45	57	67
46	59	66
47	59	64
48	59	62
49	60	60
50	60	58
51	60	56
52	61	54
53	63	54
54	64	52
55	64	50
56	64	48
57	65	47
58	65	45
59	662	5860	67	42
61	67	41
62	70	41
63	70	39
64	71	38
65	77	40
66	78	38
67	78	36
68	78	35
69	78	33
70	79	32
71	79	30
72	79	29
73	80	28
74	80	26
75	84	26
76	84	25
77	84	23
78	84	22
79	85	21
80	85	20
81	88	19
82	89	18
83	90	17
84	90	15
85	90	14
86	91	13
87	91	12
88	91	11
89	92	10
90	92	9
91	93	8
92	93	7
93	93	5
94	94	4
95	94	3
96	95	2
97	95	1
98	95	0
99	96	0
98	95	0
99	96	0
