car_model,car_price,car_year,car_category
40797.9,42277,2000,سيارات كهربائية
491442.60000000003,339614,2007,سيارات عائلية
760485.0000000001,682476,2015,سيارات دفع رباعي
757245.5000000001,724449,2015,سيارات كهربائية
764439.5000000001,718844,2015,سيارات رياضية
1019796.8,1000000,2021,سيارات كهربائية
140732.90000000002,98383,2002,سيارات دفع رباعي
196254.30000000002,167504,2003,سيارات عائلية
742745.3,896185,2016,سيارات عائلية
524329.3,538286,2013,سيارات كهربائية
1059014.0,1000000,2022,سيارات عائلية
40022.4,13066,2000,سيارات دفع رباعي
439610.60000000003,489126,2012,سيارات رياضية
176337.7,98917,2003,سيارات كهربائية
904970.0000000001,893077,2016,سيارات رياضية
143953.7,83182,2003,سيارات كهربائية
1094448.3,1000000,2023,سيارات رياضية
288453.0,256004,2006,سيارات رياضية
984159.0000000001,1000000,2019,سيارات عائلية
56646.700000000004,73055,2001,سيارات رياضية
982693.8,1000000,2021,سيارات عائلية
337812.2,319130,2007,سيارات كهربائية
172107.1,177445,2004,سيارات عائلية
50438.3,129381,2001,سيارات كهربائية
1077429.1,1000000,2023,سيارات دفع رباعي
403117.00000000006,431354,2011,سيارات كهربائية
142500.6,106305,2003,سيارات دفع رباعي
798382.2000000001,727806,2016,سيارات رياضية
723444.7000000001,642744,2015,سيارات دفع رباعي
960763.1000000001,1000000,2019,سيارات رياضية
441995.4,340215,2011,سيارات رياضية
425824.30000000005,341456,2009,سيارات رياضية
781412.5000000001,872115,2016,سيارات دفع رباعي
937259.4,964929,2017,سيارات كهربائية
318202.5,299821,2007,سيارات دفع رباعي
1062069.8,1000000,2023,سيارات عائلية
712567.9,667343,2014,سيارات عائلية
972725.6000000001,1000000,2018,سيارات عائلية
542562.9,429000,2012,سيارات رياضية
248633.00000000003,248784,2005,سيارات كهربائية
188765.50000000003,160466,2004,سيارات دفع رباعي
661028.5,565631,2013,سيارات دفع رباعي
717643.3,613407,2014,سيارات دفع رباعي
902783.2000000001,1000000,2017,سيارات دفع رباعي
883847.8,1000000,2017,سيارات رياضية
1098843.9000000001,1000000,2022,سيارات دفع رباعي
627114.4,581416,2013,سيارات رياضية
361284.00000000006,263359,2007,سيارات رياضية
953078.5000000001,1000000,2018,سيارات كهربائية
253129.80000000002,208636,2005,سيارات دفع رباعي
936371.7000000001,1000000,2019,سيارات كهربائية
776957.5000000001,769197,2015,سيارات عائلية
1050204.1,1000000,2021,سيارات كهربائية
1011434.6000000001,1000000,2021,سيارات دفع رباعي
779408.3,734937,2015,سيارات كهربائية
165678.7,161765,2004,سيارات دفع رباعي
221798.50000000003,278185,2005,سيارات عائلية
895294.4,981112,2018,سيارات عائلية
143154.0,186696,2003,سيارات عائلية
141912.1,153167,2002,سيارات عائلية
436357.9,402051,2011,سيارات رياضية
295878.0,323475,2006,سيارات دفع رباعي
584276.0,483338,2013,سيارات دفع رباعي
1100000.0,1000000,2023,سيارات كهربائية
587673.9,432936,2012,سيارات عائلية
491690.10000000003,446273,2012,سيارات دفع رباعي
234503.50000000003,181431,2005,سيارات كهربائية
95763.8,195777,2003,سيارات رياضية
91419.90000000001,46212,2001,سيارات رياضية
1079425.6,1000000,2022,سيارات رياضية
942151.1000000001,1000000,2019,سيارات كهربائية
381659.30000000005,298961,2007,سيارات رياضية
65667.8,17586,2000,سيارات دفع رباعي
409402.4,497262,2012,سيارات رياضية
249240.2,105473,2004,سيارات رياضية
530350.7000000001,526562,2013,سيارات كهربائية
321708.2,235712,2006,سيارات دفع رباعي
448300.60000000003,372310,2010,سيارات كهربائية
753513.2000000001,701034,2014,سيارات دفع رباعي
882290.2000000001,930906,2016,سيارات عائلية
433209.7,375654,2008,سيارات كهربائية
924453.2000000001,998651,2019,سيارات دفع رباعي
1100000.0,1000000,2022,سيارات كهربائية
281169.9,262277,2006,سيارات رياضية
425984.9,389420,2008,سيارات عائلية
849378.2000000001,870529,2016,سيارات دفع رباعي
568805.6000000001,492678,2013,سيارات رياضية
445473.60000000003,420256,2011,سيارات دفع رباعي
680667.9,696577,2014,سيارات رياضية
216103.80000000002,173938,2005,سيارات دفع رباعي
634224.8,605932,2014,سيارات عائلية
465164.7,383839,2009,سيارات رياضية
490624.2,440790,2010,سيارات كهربائية
1048356.1000000001,1000000,2022,سيارات كهربائية
160414.1,133663,2005,سيارات كهربائية
495531.30000000005,430641,2010,سيارات رياضية
1100000.0,1000000,2023,سيارات كهربائية
69954.5,34272,2001,سيارات رياضية
925010.9,919101,2017,سيارات دفع رباعي
1003962.3,1000000,2020,سيارات كهربائية
