Customer_ID,Age,Annual_Income,Customer_Tier,Interest_Rate,Credit_Score,Loan_Default
SOL-CUST_1000,48,431209,VIP,2.7,789,0
SOL-CUST_1001,33,206805,Standard,10.1,767,0
SOL-CUST_1002,39,337472,Standard,2.7,808,0
SOL-CUST_1003,45,49314,Standard,3.6,839,0
SOL-CUST_1004,31,480304,VIP,2.7,849,0
SOL-CUST_1005,59,52539,Standard,12.0,378,0
SOL-CUST_1006,66,27772,Standard,5.1,491,0
SOL-CUST_1007,28,153838,VIP,4.6,516,1
SOL-CUST_1008,51,60723,Standard,7.9,547,0
SOL-CUST_1009,31,21180,Standard,12.0,656,0
SOL-CUST_1010,25,23425,VIP,5.3,614,0
SOL-CUST_1011,45,25110,Gold,6.4,757,0
SOL-CUST_1012,26,36945,Gold,11.9,346,0
SOL-CUST_1013,60,370035,VIP,2.7,627,1
SOL-CUST_1014,42,21662,Standard,11.9,352,0
SOL-CUST_1015,36,217566,VIP,11.4,599,0
SOL-CUST_1016,36,34154,Gold,8.3,824,0
SOL-CUST_1017,47,20995,Gold,12.0,387,1
SOL-CUST_1018,23,364746,Gold,2.8,734,0
SOL-CUST_1019,30,75500,Standard,2.7,840,0
SOL-CUST_1020,56,222078,Gold,7.3,849,0
SOL-CUST_1021,64,395841,Gold,2.7,799,0
SOL-CUST_1022,31,22959,Gold,12.0,603,1
SOL-CUST_1023,61,241860,VIP,2.7,729,0
SOL-CUST_1024,68,208195,VIP,2.7,711,1
SOL-CUST_1025,66,319594,Standard,2.7,848,0
SOL-CUST_1026,25,66494,Gold,8.9,509,0
SOL-CUST_1027,61,123453,Gold,11.5,560,1
SOL-CUST_1028,40,94615,VIP,4.3,610,0
SOL-CUST_1029,53,20479,Gold,12.0,446,0
SOL-CUST_1030,60,483698,VIP,2.7,849,0
SOL-CUST_1031,61,214756,VIP,2.7,651,0
SOL-CUST_1032,50,20494,Gold,12.0,398,0
SOL-CUST_1033,70,20615,Gold,12.0,347,1
SOL-CUST_1034,46,232985,VIP,2.7,837,0
SOL-CUST_1035,27,20867,Gold,12.0,439,0
SOL-CUST_1036,31,105246,VIP,2.7,775,0
SOL-CUST_1037,50,147426,VIP,2.7,847,0
SOL-CUST_1038,62,122555,Standard,9.6,583,0
SOL-CUST_1039,69,20501,Gold,11.4,622,0
SOL-CUST_1040,30,176562,Standard,10.0,633,0
SOL-CUST_1041,65,174191,Gold,3.2,825,0
SOL-CUST_1042,47,290192,Standard,2.7,839,0
SOL-CUST_1043,34,236937,VIP,3.1,710,0
SOL-CUST_1044,57,472287,VIP,2.7,753,0
SOL-CUST_1045,67,42714,Gold,12.0,412,0
SOL-CUST_1046,42,85949,Standard,2.7,802,0
SOL-CUST_1047,45,58480,VIP,2.7,696,0
SOL-CUST_1048,60,384755,VIP,2.7,760,0
SOL-CUST_1049,42,50720,Standard,3.0,782,0
